id1,id2,relationship,score,openai_response,medllama_response,medllama_score,medllama_relationship,Symbol,vq*,omim,omim_binary
1000,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,CDH2,1.0,False,0
10195,D000544,Causal,0.85,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,ALG3,1.0,False,0
102,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,ADAM10,0.0,True,1
10347,D000544,Not causal,0.19999999999999996,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.8
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,ABCA7,0.0,True,1
103979,D000544,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Alph1,0.0,False,0
10524,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,KAT5,0.0,False,0
1066,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,CES1,0.0,False,0
10891,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,PPARGC1A,0.0,False,0
10957,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,PNRC1,0.0,False,0
10972,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,TMED10,0.0,False,0
1103,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,CHAT,0.0,False,0
110446,D000544,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Acat1,0.0,False,0
112935892,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,LINC02605,0.0,False,0
11350,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Abl1,0.0,False,0
1137,D000544,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.5}",0.5,Causal,CHRNA4,0.0,False,0
11441,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Chrna7,0.0,False,0
114487,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"":""Causal"",""score"":0.9999999999999999}",1.0,Causal,Wnt2,0.0,False,0
114548,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,NLRP3,0.0,False,0
11487,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Adam10,1.0,False,0
11555,D000544,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Adrb2,1.0,False,0
11803,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Aplp1,0.9912941450185706,False,0
11804,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Aplp2,0.0,False,0
11816,D000544,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,Apoe,0.0,False,0
11820,D000544,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"":""Causal"",""score"":0.0}",0.0,Causal,App,0.865972484936482,False,0
1191,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,CLU,0.9353921354720921,False,0
12,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,SERPINA3,1.0,False,0
12043,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,Bcl2,0.0,False,0
12064,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Bdnf,0.0,False,0
12259,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,C1qa,0.0,False,0
12322,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Camk2a,0.0,False,0
12367,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Casp3,0.0,False,0
12387,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"":""Causal"",""score"":0.9999999999999999}",1.0,Causal,Ctnnb1,0.9450837465940538,False,0
12443,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Ccnd1,0.0,False,0
12504,D000544,Not causal,0.19999999999999996,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.8
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Cd4,0.0,False,0
12568,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Cdk5,0.0,False,0
12569,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Cdk5r1,0.0,False,0
12772,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Ccr2,1.0,False,0
12912,D000544,Causal,0.95,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.95
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Creb1,0.0,False,0
12914,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Crebbp,0.0,False,0
13030,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,Ctsb,0.0,False,0
13040,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Ctss,0.0,False,0
13075,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Cyp19a1,0.0,False,0
13388,D000544,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Dll1,0.0,False,0
1378,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9999999999999999}",1.0,Causal,CR1,0.0,False,0
1385,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,CREB1,0.0,False,0
1387,D000544,Not causal,0.09999999999999998,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,CREBBP,0.0,False,0
13982,D000544,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"":""Causal"",""score"":0.9}",0.9,Causal,Esr1,0.0,False,0
13983,D000544,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"":""Causal"",""score"":0.9}",0.9,Causal,Esr2,0.0,False,0
1410,D000544,Causal,0.85,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,CRYAB,0.0,False,0
14281,D000544,Causal,0.9,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.9
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,Fos,0.0,False,0
1452,D000544,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.9}",0.9,Causal,CSNK1A1,0.0,False,0
14580,D000544,Not causal,0.15000000000000002,"{
  ""relationship"": ""Not causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Causal"", ""score"": 0.99}",0.99,Causal,Gfap,0.0,False,0
146691,D000544,Causal,0.85,"{
  ""relationship"": ""Causal"",
  ""confidence"": 0.85
}","{""relationship"": ""Not causal"", ""score"": 0.0}",0.0,Not causal,TOM1L2,0.0,False,0
