id1,id2,Symbol,vq_star,number_of_causal,total,OMIM
692854,D010300,14-3-3zeta,0.0,0,1,0
27471,D010300,16S,0.0,0,1,0
27475,D010300,20S,0.0,0,1,0
13201387,D010300,21ur-1581,0.0,0,1,0
102638670,D010300,4930578G10Rik,0.0,0,1,0
1,D010300,A1BG,0.0,0,1,0
2,D010300,A2M,0.0,0,11,0
24153,D010300,A2m,0.0,0,3,0
53947,D010300,A4GALT,0.0,0,4,0
100329167;1769,D010300,AAA1,0.0,0,2,0
8086,D010300,AAAS,0.0,0,1,0
100156545,D010300,AACS,0.0,0,1,0
51166,D010300,AADAT,0.0,0,3,0
22848,D010300,AAK1,0.0,0,3,0
16,D010300,AARS1,0.0,0,1,0
17,D010300,AAVS1,0.0,0,1,0
18,D010300,ABAT,0.0,0,3,0
19,D010300,ABCA1,0.0,0,7,0
20,D010300,ABCA2,0.0,0,3,0
21,D010300,ABCA3,0.0,0,1,0
24,D010300,ABCA4,0.0,0,2,0
23461,D010300,ABCA5,0.0,0,2,0
10347,D010300,ABCA7,0.0,0,14,0
10351,D010300,ABCA8,0.0,0,1,0
5243,D010300,ABCB1,0.0,0,61,0
8647,D010300,ABCB11,0.0,0,3,0
5244,D010300,ABCB4,0.0,0,1,0
340273,D010300,ABCB5,0.0,0,1,0
10058,D010300,ABCB6,0.0,0,1,0
23457,D010300,ABCB9,0.0,0,1,0
4363,D010300,ABCC1,0.0,0,4,0
1244,D010300,ABCC2,0.0,0,4,0
8714,D010300,ABCC3,0.0,0,1,0
6833,D010300,ABCC8,0.0,0,5,0
10060,D010300,ABCC9,0.0,0,1,0
215,D010300,ABCD1,0.0,0,1,0
6059,D010300,ABCE1,0.0,0,1,0
9619,D010300,ABCG1,0.0,0,1,0
9429,D010300,ABCG2,0.0,0,9,0
64241,D010300,ABCG8,0.0,0,1,0
81926,D010300,ABHD17A,0.0,0,1,0
57406,D010300,ABHD6,0.0,0,1,0
10006,D010300,ABI1,0.0,0,1,0
51225,D010300,ABI3,0.0,0,1,0
25,D010300,ABL1,0.0,0,42,0
27,D010300,ABL2,0.0,0,3,0
28,D010300,ABO,0.0,0,4,0
10449,D010300,ACAA2,0.0,0,1,0
31,D010300,ACACA,0.0,0,1,0
28976,D010300,ACAD9,0.0,0,2,0
34,D010300,ACADM,0.0,0,1,0
176,D010300,ACAN,0.0,0,2,0
116983,D010300,ACAP3,0.0,0,2,0
38,D010300,ACAT1,0.0,0,1,0
39,D010300,ACAT2,0.0,0,1,0
1636,D010300,ACE,0.0,0,30,0
59272,D010300,ACE2,0.8775396268260783,1,24,0
43,D010300,ACHE,0.2164876785437925,1,185,0
1238,D010300,ACKR2,0.0,0,1,0
57007,D010300,ACKR3,0.0,0,2,0
47,D010300,ACLY,0.0,0,2,0
130013,D010300,ACMSD,0.0,0,15,0
48,D010300,ACO1,0.0,0,16,0
50,D010300,ACO2,0.9938992606523686,1,5,0
52,D010300,ACP1,0.0,0,1,0
53,D010300,ACP2,0.0,0,2,0
55,D010300,ACP3,0.0,0,2,0
54,D010300,ACP5,0.0,0,3,0
51205,D010300,ACP6,0.0,0,1,0
2182,D010300,ACSL4,0.910898385675447,1,9,0
6296,D010300,ACSM3,0.0,0,3,0
55902,D010300,ACSS2,0.0,0,1,0
850504,D010300,ACT1,0.0,0,1,0
58,D010300,ACTA1,0.0,0,1,0
396526,D010300,ACTB,0.0,0,6,0
528168,D010300,ACTE1,0.0,0,1,0
71,D010300,ACTG1,0.0,0,1,0
10880,D010300,ACTL7B,0.0,0,1,0
87,D010300,ACTN1,0.0,0,1,0
10121,D010300,ACTR1A,0.0,0,1,0
10120,D010300,ACTR1B,0.0,0,3,0
10097;10096,D010300,ACTR2,0.0,0,4,0
93,D010300,ACVR2B,0.0,0,1,0
95,D010300,ACY1,0.0,0,1,0
98,D010300,ACYP2,0.0,0,1,0
780912,D010300,AD10,0.0,0,1,0
100,D010300,ADA,0.0,0,6,0
51816,D010300,ADA2,0.0,0,2,0
102,D010300,ADAM10,0.0,0,6,0
8751,D010300,ADAM15,0.0,0,1,0
6868,D010300,ADAM17,0.0,0,2,0
53616,D010300,ADAM22,0.0,0,1,0
8754,D010300,ADAM9,0.0,0,1,0
81792,D010300,ADAMTS12,0.0,0,1,0
171019,D010300,ADAMTS19,0.0,0,1,0
103,D010300,ADAR,0.0,0,2,0
104,D010300,ADARB1,0.997518141796863,1,2,0
105,D010300,ADARB2,0.0,0,1,0
107,D010300,ADCY1,0.0,0,4,0
55811,D010300,ADCY10,0.0,0,1,0
108,D010300,ADCY2,0.0,0,1,0
109,D010300,ADCY3,0.0,0,2,0
111,D010300,ADCY5,0.0,0,5,0
116,D010300,ADCYAP1,0.0,0,38,0
117,D010300,ADCYAP1R1,0.0,0,12,0
118,D010300,ADD1,0.0,0,1,0
119,D010300,ADD2,0.0,0,1,0
25960,D010300,ADGRA2,0.0,0,1,0
575,D010300,ADGRB1,0.0,0,1,0
9289,D010300,ADGRG1,0.0,0,1,0
222487,D010300,ADGRG3,0.0,0,1,0
57211,D010300,ADGRG6,0.0,0,1,0
22859,D010300,ADGRL1,0.0,0,2,0
124,D010300,ADH1A,0.0,0,4,0
125,D010300,ADH1B,0.0,0,6,0
126,D010300,ADH1C,0.0,0,2,1
127,D010300,ADH4,0.0,0,1,0
128,D010300,ADH5,0.0,0,3,0
130,D010300,ADH6,0.0,0,1,0
131,D010300,ADH7,0.0,0,1,0
9370,D010300,ADIPOQ,0.0,0,12,0
51094,D010300,ADIPOR1,0.0,0,1,0
132,D010300,ADK,0.0,0,3,0
133,D010300,ADM,0.0,0,2,0
23394,D010300,ADNP,0.0,0,6,0
84890,D010300,ADO,0.0,0,3,0
134,D010300,ADORA1,0.705304445185472,1,13,0
135,D010300,ADORA2A,0.0,0,191,0
140,D010300,ADORA3,0.0,0,3,0
54936,D010300,ADPRS,0.0,0,1,0
148,D010300,ADRA1A,0.0,0,2,0
146,D010300,ADRA1D,0.0,0,1,0
150,D010300,ADRA2A,0.0,0,2,0
151,D010300,ADRA2B,0.0,0,11,0
152,D010300,ADRA2C,0.0,0,4,0
153,D010300,ADRB1,0.0,0,3,0
154,D010300,ADRB2,0.0,0,24,0
155,D010300,ADRB3,0.0,0,3,0
11047,D010300,ADRM1,0.0,0,1,0
100188784,D010300,AFA1,0.0,0,1,0
4301,D010300,AFDN,0.0,0,2,0
2334,D010300,AFF2,0.0,0,1,0
10939,D010300,AFG3L2,0.0,0,2,0
173,D010300,AFM,0.0,0,1,0
174,D010300,AFP,0.0,0,2,0
852809,D010300,AFT1,0.0,0,1,0
175,D010300,AGA,1.0,1,1,0
60509,D010300,AGBL5,0.0,0,1,0
177,D010300,AGER,0.0,0,23,0
3267,D010300,AGFG1,0.0,0,54,0
392636,D010300,AGMO,0.0,0,1,0
26523,D010300,AGO1,0.0,0,1,0
27161,D010300,AGO2,0.0,0,5,0
192669,D010300,AGO3,0.0,0,2,0
10554,D010300,AGPAT1,0.0,0,1,0
375790,D010300,AGRN,0.0,0,5,0
183,D010300,AGT,0.0,0,25,0
185,D010300,AGTR1,0.0,0,18,0
186,D010300,AGTR2,0.0,0,2,0
191,D010300,AHCY,0.0,0,1,0
850799,D010300,AHP1,0.0,0,1,0
196,D010300,AHR,0.0,0,17,0
10598,D010300,AHSA1,0.0,0,1,0
197,D010300,AHSG,0.0,0,1,0
51327,D010300,AHSP,0.0,0,1,0
64853,D010300,AIDA,0.0,0,1,0
199,D010300,AIF1,0.0,0,31,0
9131,D010300,AIFM1,0.0,0,27,0
9447,D010300,AIM2,0.0,0,2,0
7965,D010300,AIMP2,0.0,0,15,0
203,D010300,AK1,0.0,0,1,0
204,D010300,AK2,0.0,0,1,0
26289,D010300,AK5,0.0,0,1,0
8165,D010300,AKAP1,0.0,0,3,0
11214,D010300,AKAP13,0.0,0,1,0
9472,D010300,AKAP6,0.0,0,1,0
10327,D010300,AKR1A1,0.0,0,10,0
231,D010300,AKR1B1,0.0,0,4,0
57016,D010300,AKR1B10,0.0,0,1,0
1646,D010300,AKR1C2,0.0,0,1,0
8644,D010300,AKR1C3,0.0,0,2,0
207,D010300,AKT1,0.1379465318320621,1,372,0
84335,D010300,AKT1S1,0.0,0,4,0
208,D010300,AKT2,0.0,0,1,0
10000,D010300,AKT3,0.0,0,4,0
210,D010300,ALAD,0.0,0,1,0
100307125,D010300,ALAS1,0.0,0,1,0
212,D010300,ALAS2,0.0,0,2,0
213,D010300,ALB,0.0,0,75,0
214,D010300,ALCAM,0.0,0,6,0
216,D010300,ALDH1A1,0.0,0,29,0
219,D010300,ALDH1B1,0.0,0,1,0
217,D010300,ALDH2,0.0,0,15,0
4329,D010300,ALDH6A1,0.0,0,1,0
501,D010300,ALDH7A1,0.0,0,6,0
223,D010300,ALDH9A1,0.0,0,1,0
226,D010300,ALDOA,0.0,0,1,0
230,D010300,ALDOC,0.0,0,2,0
8846,D010300,ALKBH1,1.0,1,1,0
54890,D010300,ALKBH5,0.0,0,4,0
239,D010300,ALOX12,0.0,0,2,0
246,D010300,ALOX15,0.0,0,6,0
247,D010300,ALOX15B,0.0,0,1,0
240,D010300,ALOX5,0.0,0,12,0
241,D010300,ALOX5AP,0.0,0,3,0
248,D010300,ALPI,0.0,0,1,0
250,D010300,ALPP,0.0,0,4,0
57679,D010300,ALS2,0.0,0,1,0
10189,D010300,ALYREF,0.0,0,1,0
259,D010300,AMBP,0.0,0,4,0
55626,D010300,AMBRA1,0.0,0,8,0
81693,D010300,AMN,0.0,0,1,0
273,D010300,AMPH,0.0,0,3,0
43904,D010300,AMPKalpha,0.0,0,5,0
51529,D010300,ANAPC11,0.0,0,1,0
283,D010300,ANG,0.0,0,16,0
284,D010300,ANGPT1,0.0,0,2,0
285,D010300,ANGPT2,0.0,0,4,0
286,D010300,ANK1,0.0,0,5,0
287,D010300,ANK2,0.0,0,4,0
54882,D010300,ANKHD1,0.0,0,1,0
255239,D010300,ANKK1,0.0,0,13,0
200539,D010300,ANKRD23,0.0,0,1,0
645784,D010300,ANKRD36BP2,0.0,0,1,0
80871,D010300,ANMA,0.0,0,1,0
55107,D010300,ANO1,0.0,0,1,0
63982,D010300,ANO3,0.0,0,4,0
3730,D010300,ANOS1,0.0,0,1,0
8125,D010300,ANP32A,0.0,0,1,0
290,D010300,ANPEP,0.0,0,3,0
301,D010300,ANXA1,0.0,0,4,0
311,D010300,ANXA11,0.0,0,1,0
302,D010300,ANXA2,0.0,0,4,0
305,D010300,ANXA2P3,0.0,0,1,0
308,D010300,ANXA5,0.0,0,40,0
310,D010300,ANXA7,0.0,0,1,0
26,D010300,AOC1,0.0,0,7,0
314,D010300,AOC2,0.0,0,1,0
84909,D010300,AOPEP,0.0,0,1,0
316,D010300,AOX1,0.0,0,1,0
8906,D010300,AP1G2,0.0,0,1,0
10053,D010300,AP1M2,0.0,0,1,0
1174,D010300,AP1S1,0.0,0,1,0
163,D010300,AP2B1,0.6225836059001365,1,30,0
1173,D010300,AP2M1,0.0,0,2,0
317,D010300,APAF1,0.0,0,10,0
320,D010300,APBA1,0.0,0,1,0
321,D010300,APBA2,0.0,0,1,0
322,D010300,APBB1,0.0,0,2,0
323,D010300,APBB2,0.0,0,1,0
324,D010300,APC,0.0,0,4,0
325,D010300,APCS,0.0,0,3,0
328,D010300,APEX1,0.0,0,3,0
8862,D010300,APLN,0.0,0,4,0
187,D010300,APLNR,0.0,0,5,0
333,D010300,APLP1,0.0,0,2,0
334,D010300,APLP2,0.0,0,1,0
335,D010300,APOA1,0.0,0,26,0
336,D010300,APOA2,0.0,0,3,0
337,D010300,APOA4,0.0,0,2,0
116519,D010300,APOA5,0.0,0,1,0
338,D010300,APOB,0.0,0,15,0
341,D010300,APOC1,0.0,0,3,0
344,D010300,APOC2,0.0,0,7,0
345,D010300,APOC3,0.0,0,4,0
347,D010300,APOD,0.0,0,9,0
348,D010300,APOE,0.199648671574025,1,377,0
350,D010300,APOH,0.0,0,1,0
80830,D010300,APOL6,0.0,0,1,0
351,D010300,APP,0.3165729792005957,5,1084,0
39244,D010300,APP-BP1,0.0,0,1,0
353,D010300,APRT,0.0,0,1,0
358,D010300,AQP1,0.0,0,2,0
361,D010300,AQP4,0.0,0,25,0
366,D010300,AQP9,0.0,0,2,0
367,D010300,AR,0.0,0,15,0
23237,D010300,ARC,0.0,0,3,0
374,D010300,AREG,0.0,0,1,0
375,D010300,ARF1,0.0,0,1,0
382,D010300,ARF6,0.0,0,2,0
55738,D010300,ARFGAP1,0.0,0,2,0
383,D010300,ARG1,0.0,0,3,0
853374,D010300,ARG2,0.0,0,1,0
851982,D010300,ARH1,0.0,0,1,0
79658,D010300,ARHGAP10,0.0,0,1,0
55843,D010300,ARHGAP15,0.0,0,1,0
23092,D010300,ARHGAP26,0.0,0,5,0
201176,D010300,ARHGAP27,0.0,0,1,0
397,D010300,ARHGDIB,0.0,0,2,0
9181,D010300,ARHGEF2,0.0,0,3,0
26084,D010300,ARHGEF26,0.0,0,1,0
64283,D010300,ARHGEF28,0.0,0,1,0
7984,D010300,ARHGEF5,0.0,0,1,0
8874,D010300,ARHGEF7,0.0,0,2,0
23229,D010300,ARHGEF9,0.0,0,1,0
8289,D010300,ARID1A,0.0,0,1,0
25820,D010300,ARIH1,0.0,0,6,0
10425,D010300,ARIH2,0.0,0,1,0
51326,D010300,ARL17A,0.0,0,1,0
100506084,D010300,ARL17B,0.0,0,1,0
221079,D010300,ARL5B,0.0,0,1,0
10550,D010300,ARL6IP5,0.0,0,4,0
405,D010300,ARNT,0.0,0,1,0
700536,D010300,ARPC2,0.0,0,1,0
10776,D010300,ARPP19,0.0,0,4,0
10777,D010300,ARPP21,0.0,0,2,0
407,D010300,ARR3,0.0,0,1,0
408,D010300,ARRB1,0.0,0,21,0
409,D010300,ARRB2,0.0,0,2,0
410,D010300,ARSA,0.0,0,7,0
411,D010300,ARSB,0.0,0,1,0
414,D010300,ARSD,0.0,0,2,0
22901,D010300,ARSG,0.0,0,1,0
9048,D010300,ARTN,0.0,0,4,0
57412,D010300,AS3MT,0.0,0,1,0
427,D010300,ASAH1,0.0,0,5,0
84164,D010300,ASCC2,0.0,0,1,0
429,D010300,ASCL1,0.0,0,17,0
430,D010300,ASCL2,0.0,0,1,0
433,D010300,ASGR2,0.0,0,2,0
41,D010300,ASIC1,0.0,0,1,0
40,D010300,ASIC2,0.0,0,1,0
9311,D010300,ASIC3,0.0,0,1,0
55515,D010300,ASIC4,0.0,0,1,0
51802,D010300,ASIC5,0.0,0,1,0
434,D010300,ASIP,0.0,0,1,0
444,D010300,ASPH,0.0,0,1,0
259266,D010300,ASPM,0.0,0,2,0
80150,D010300,ASRGL1,0.0,0,1,0
445,D010300,ASS1,0.0,0,5,0
460,D010300,ASTN1,0.0,0,1,0
55210,D010300,ATAD3A,0.0,0,2,0
465,D010300,ATD,0.0,0,1,0
466,D010300,ATF1,0.0,0,1,0
1386,D010300,ATF2,0.0,0,5,0
467,D010300,ATF3,0.0,0,6,0
468,D010300,ATF4,0.0,0,27,0
22809,D010300,ATF5,0.0,0,1,0
22926,D010300,ATF6,0.9033886395333304,1,13,0
1388,D010300,ATF6B,0.0,0,1,0
852695,D010300,ATG1,0.0,0,1,0
83734,D010300,ATG10,0.0,0,5,0
60673,D010300,ATG101,0.0,0,1,0
856162,D010300,ATG11,0.0,0,1,0
9140,D010300,ATG12,0.0,0,5,0
9776,D010300,ATG13,0.0,0,4,0
22863,D010300,ATG14,0.0,0,1,0
55054,D010300,ATG16L1,0.0,0,9,0
64422,D010300,ATG3,0.0,0,3,0
854660,D010300,ATG32,0.0,0,2,0
854323,D010300,ATG40,0.0,0,1,0
23192,D010300,ATG4B,0.0,0,2,0
9474,D010300,ATG5,0.0,0,33,0
10533,D010300,ATG7,0.0,0,15,0
852200,D010300,ATG8,0.0,0,5,0
79065,D010300,ATG9A,0.0,0,6,0
471,D010300,ATIC,0.0,0,1,0
51062,D010300,ATL1,0.0,0,1,0
25923,D010300,ATL3,0.0,0,1,0
472,D010300,ATM,0.0,0,11,0
1822,D010300,ATN1,0.0,0,7,0
474,D010300,ATOH1,0.0,0,1,0
475,D010300,ATOX1,0.0,0,5,0
23120,D010300,ATP10B,0.0,0,8,0
57130,D010300,ATP13A1,0.0,0,5,0
23400,D010300,ATP13A2,0.8548725898747901,10,161,0
84239,D010300,ATP13A4,0.0,0,1,0
344905,D010300,ATP13A5,0.0,0,5,0
476,D010300,ATP1A1,0.0,0,1,0
